"threshold","tpr","fpr","model"
0.312756693622324,0.947598253275109,0.147679324894515,"Model 1: Full main-effects"
0.313825537144801,0.943231441048035,0.147679324894515,"Model 1: Full main-effects"
0.320753412772678,0.943231441048035,0.143459915611814,"Model 1: Full main-effects"
0.32092007676719,0.943231441048035,0.139240506329114,"Model 1: Full main-effects"
0.324358106470582,0.943231441048035,0.135021097046413,"Model 1: Full main-effects"
0.325576741238558,0.938864628820961,0.135021097046413,"Model 1: Full main-effects"
0.327877249348908,0.938864628820961,0.130801687763713,"Model 1: Full main-effects"
0.328360947538808,0.938864628820961,0.126582278481013,"Model 1: Full main-effects"
0.333901968566219,0.934497816593886,0.126582278481013,"Model 1: Full main-effects"
0.336456314434085,0.934497816593886,0.122362869198312,"Model 1: Full main-effects"
0.341364722847739,0.934497816593886,0.118143459915612,"Model 1: Full main-effects"
0.361371425874759,0.930131004366812,0.118143459915612,"Model 1: Full main-effects"
0.365380131161403,0.930131004366812,0.113924050632911,"Model 1: Full main-effects"
0.373254665056695,0.930131004366812,0.109704641350211,"Model 1: Full main-effects"
0.400505196875911,0.930131004366812,0.105485232067511,"Model 1: Full main-effects"
0.402879927110999,0.930131004366812,0.10126582278481,"Model 1: Full main-effects"
0.406225742072352,0.930131004366812,0.0970464135021097,"Model 1: Full main-effects"
0.408071818617674,0.925764192139738,0.0970464135021097,"Model 1: Full main-effects"
0.417328961477704,0.925764192139738,0.0928270042194093,"Model 1: Full main-effects"
0.421976759345265,0.925764192139738,0.0886075949367089,"Model 1: Full main-effects"
0.424097527861209,0.921397379912664,0.0886075949367089,"Model 1: Full main-effects"
0.444309366462173,0.921397379912664,0.0843881856540084,"Model 1: Full main-effects"
0.445087320405179,0.91703056768559,0.0843881856540084,"Model 1: Full main-effects"
0.45028851652711,0.91703056768559,0.080168776371308,"Model 1: Full main-effects"
0.451113924455299,0.91703056768559,0.0759493670886076,"Model 1: Full main-effects"
0.459997648916703,0.91703056768559,0.0717299578059072,"Model 1: Full main-effects"
0.481991652090018,0.912663755458515,0.0717299578059072,"Model 1: Full main-effects"
0.493324232205428,0.908296943231441,0.0717299578059072,"Model 1: Full main-effects"
0.506331987096527,0.903930131004367,0.0717299578059072,"Model 1: Full main-effects"
0.518900053904566,0.903930131004367,0.0675105485232067,"Model 1: Full main-effects"
0.519240492261796,0.903930131004367,0.0632911392405063,"Model 1: Full main-effects"
0.527448796560504,0.903930131004367,0.0590717299578059,"Model 1: Full main-effects"
0.529401312686609,0.899563318777293,0.0590717299578059,"Model 1: Full main-effects"
0.546347537298169,0.895196506550218,0.0590717299578059,"Model 1: Full main-effects"
0.546494673465055,0.890829694323144,0.0590717299578059,"Model 1: Full main-effects"
0.54872804541623,0.88646288209607,0.0590717299578059,"Model 1: Full main-effects"
0.552369160769414,0.88646288209607,0.0548523206751055,"Model 1: Full main-effects"
0.558626226233451,0.882096069868996,0.0548523206751055,"Model 1: Full main-effects"
0.574652441357906,0.877729257641921,0.0548523206751055,"Model 1: Full main-effects"
0.580520006188217,0.873362445414847,0.0548523206751055,"Model 1: Full main-effects"
0.581893176716854,0.868995633187773,0.0548523206751055,"Model 1: Full main-effects"
0.592706991953698,0.864628820960699,0.0548523206751055,"Model 1: Full main-effects"
0.605857970321395,0.860262008733624,0.0548523206751055,"Model 1: Full main-effects"
